Company,Fiscal_Year,Borrowings,Capital_WIP,Equity_Capital,Fixed_Assets_Net_PPE,Investments_Non_Current,Other_Current_Assets,Other_Liabilities,Reserves_and_Equity,Total_Assets,Total_Liabilities,Year,Total_Equity_Calculated,Working_Capital,Debt_to_Assets,Asset_Turnover_Ratio
API Holdings Limited,FY2021,232.15,0.25,25.62,61.37,11.4,4832.32,1092.02,3413.16,4905.34,1324.17,2021,3438.78,3740.3,4.73,0
API Holdings Limited,FY2022,100.07,6.96,614.2,361.38,15.28,11014.71,4275.78,6083.06,11398.33,4375.85,2022,6697.26,6738.93,0.88,0
API Holdings Limited,FY2023,3200.91,3.06,614.2,357.9,17.36,7878.1,2618.67,1478.26,8256.42,5819.58,2023,2092.46,5259.43,38.77,0
API Holdings Limited,FY2024,2024.39,2.76,624.04,286.24,17.46,8083.2,3776.96,1598.29,8389.66,5801.35,2024,2222.33,4306.24,24.13,0
API Holdings Limited,FY2025,1684.09,14.16,651.67,268.75,17.76,6675.91,2020.21,2352.22,6976.58,3704.3,2025,3003.89,4655.7,24.14,0
Apollo Green Energy Limited,FY2023,198.65,0,19,43.06,416.97,143.04,534.62,450.37,1202.81,733.44,2023,469.37,-391.58,16.52,0.35
Apollo Green Energy Limited,FY2024,273.25,0,19,45.47,482.39,173,677.6,513.26,1483.27,951.01,2024,532.26,-504.6,18.42,0.33
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),FY2021,0,0,0.1,3.96,85.09,1347.69,334.39,1079.39,1436.74,334.39,2021,1079.49,1013.3,0,0.06
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),FY2022,0,0,0.11,9.43,279.72,3708.1,1271.54,2706.02,3997.25,1271.54,2022,2706.13,2436.56,0,0.07
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),FY2023,20.1,0.09,64.85,13.9,345.04,4448.74,1489.94,3251.92,4807.77,1510.04,2023,3316.77,2958.8,0.42,0.07
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),FY2024,124.56,0,20.73,13.11,473.58,7531.27,5350.72,2477.76,8017.97,5475.28,2024,2498.49,2180.55,1.55,0.06
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),FY2025,210.84,0,365.63,19.76,681.26,9376.29,5011.03,4454.45,10077.31,5221.87,2025,4820.08,4365.26,2.09,0.07
CHENNAI SUPER KINGS CRICKET LIMITED,FY2021,65,6.05,3.08,144.78,0,115.64,35.11,213.03,316.22,100.11,2021,216.11,80.53,20.56,0
CHENNAI SUPER KINGS CRICKET LIMITED,FY2022,0,11.45,3.08,135.8,0.1,65.55,142.09,245.16,390.33,142.09,2022,248.24,-76.54,0,0
CHENNAI SUPER KINGS CRICKET LIMITED,FY2023,0,17.01,3.08,145.98,6.51,77.75,199.13,258.45,460.66,199.13,2023,261.53,-121.38,0,0.01
CHENNAI SUPER KINGS CRICKET LIMITED,FY2024,0,48.11,3.79,210.1,6.51,264.98,311.11,524.2,839.11,311.11,2024,527.99,-46.13,0,0.01
CHENNAI SUPER KINGS CRICKET LIMITED,FY2025,0,23.48,3.79,298.65,76.37,314.49,425.33,679,1132.42,425.33,2025,682.79,-110.84,0,0.07
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,FY2021,115.06,2.6,480.52,8.65,8.91,471.41,70.58,-188.77,491.57,185.64,2021,291.75,400.83,23.41,0.02
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,FY2022,118.99,1.76,480.52,8.91,28.23,412.07,57.55,-219.84,450.97,176.54,2022,260.68,354.52,26.39,0.06
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,FY2023,20.6,0.39,480.52,6.34,4.37,288.28,37.37,-239.11,299.38,57.97,2023,241.41,250.91,6.88,0.01
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,FY2024,18.88,0.32,480.52,4.45,0.84,243.58,37.52,-287.73,249.19,56.4,2024,192.79,206.06,7.58,0
National Commodity & Derivatives Exchange Ltd. (NCDEX),FY2021,0,0,50.68,12.67,36.54,374.17,546.52,456.07,1074.2,546.52,2021,506.75,-172.35,0,0.03
National Commodity & Derivatives Exchange Ltd. (NCDEX),FY2022,0,0,50.68,10.12,45.81,324.7,405.3,455.35,931.34,405.3,2022,506.03,-80.6,0,0.05
National Commodity & Derivatives Exchange Ltd. (NCDEX),FY2023,0,0,50.68,8.26,47.26,241.41,382.95,424.12,875.99,382.95,2023,474.8,-141.54,0,0.05
National Commodity & Derivatives Exchange Ltd. (NCDEX),FY2024,0,0,50.68,5.74,57.57,284.64,364.9,408.71,840.87,364.9,2024,459.39,-80.26,0,0.07
National Commodity & Derivatives Exchange Ltd. (NCDEX),FY2025,0,0,50.68,7.62,273.42,352.27,495.31,706.51,1245.91,495.31,2025,757.19,-143.04,0,0.22
National Stock Exchange Ltd. (NSE),FY2021,67.03,10.69,49.5,704.96,4142.06,24347.93,17502.73,11586.43,29205.64,29205.64,2021,11635.93,6845.2,0.23,0.14
National Stock Exchange Ltd. (NSE),FY2022,124.89,90.54,49.5,964.84,4915.59,29636.03,20131.72,15360.93,35607,35607,2022,15410.43,9504.31,0.35,0.14
National Stock Exchange Ltd. (NSE),FY2023,112.88,53.42,49.5,936.35,9148.79,56225.78,44233.98,20428.48,66364.34,66364.34,2023,20477.98,11991.8,0.17,0.14
National Stock Exchange Ltd. (NSE),FY2024,68.71,31.89,49.02,1004.28,14128.07,41235.34,31586.37,23924.92,65464,65464,2024,23973.94,9648.97,0.1,0.22
National Stock Exchange Ltd. (NSE),FY2025,400.71,3.85,247.5,1120.44,13810.9,39261.27,26609.43,30105.63,69466.64,69466.64,2025,30353.13,12651.84,0.58,0.2
Oravel Stays Limited (OYO ),FY2022,4614.72,40.24,132.72,85.33,330.49,12376.02,6565.42,1519.22,12832.08,11180.14,2022,1651.94,5810.6,35.96,0.03
Oravel Stays Limited (OYO ),FY2023,5005.04,94.63,132.81,55.18,347.75,14891.3,12040.67,-1589.66,15588.86,17045.71,2023,-1456.85,2850.63,32.11,0.02
Oravel Stays Limited (OYO ),FY2024,3556.7,179.45,133.88,52.22,298.5,13854.58,15609.43,-4865.26,14434.75,19166.13,2024,-4731.38,-1754.85,24.64,0.02
Oravel Stays Limited (OYO ),FY2025,6988.72,11.09,687.87,70.25,249.84,29669.64,19102.77,3321.46,30100.82,26091.49,2025,4009.33,10566.87,23.22,0.01
SBI FUNDS MANAGEMENT LIMITED,FY2021,0,0,50.09,159.53,2408.29,265.39,254.67,2528.45,2833.21,254.67,2021,2578.54,10.72,0,0.85
SBI FUNDS MANAGEMENT LIMITED,FY2022,0,2.83,50.33,153.91,3395.28,245.92,211.23,3536.38,3797.94,211.23,2022,3586.71,34.69,0,0.89
SBI FUNDS MANAGEMENT LIMITED,FY2023,0,1.88,50.32,227.29,4609.13,145.59,232.49,4701.06,4983.88,232.49,2023,4751.38,-86.9,0,0.92
SBI FUNDS MANAGEMENT LIMITED,FY2024,0,0,50.58,251,6645.42,210.47,359.14,6697.17,7106.89,359.14,2024,6747.75,-148.67,0,0.94
SBI FUNDS MANAGEMENT LIMITED,FY2025,0,109.96,50.79,263.5,8054.28,343.58,473.8,8246.74,8771.33,473.8,2025,8297.53,-130.22,0,0.92
Vivriti Capital,FY2021,984.45,8.79,94.97,7.37,257.19,1940,453.9,685.55,2213.35,1438.35,2021,780.52,1486.1,44.48,0.12
Vivriti Capital,FY2022,2479.62,4,99.91,9.49,2948.68,3835.42,1584.15,2696.5,6797.59,4063.77,2022,2796.41,2251.27,36.48,0.43
Vivriti Capital,FY2023,3506.98,4,107.1,25.75,3188.72,5238.94,2090.48,2817.91,8457.42,5597.46,2023,2925.01,3148.46,41.47,0.38
Vivriti Capital,FY2024,5262.21,1.62,108.6,31.19,2287.82,8487.3,2543.72,2946.61,10807.93,7805.93,2024,3055.21,5943.58,48.69,0.21
Vivriti Capital,FY2025,6019.28,0.01,108.98,23.67,2031.46,9916.92,2556.98,3237.06,11972.05,8576.26,2025,3346.04,7359.94,50.28,0.17
