Company,Year,LTP,Outstanding_Shares_Cr,Market_Cap_Cr,Face_Value,All_Time_High,All_Time_Low,PE_Ratio,Industry_Median_PE,PS_Ratio,PB_Ratio,EPS,Dividend,Domain,,,,,Description
API Holdings Limited,2025,5.95,651.66,4000,1,12,5.1,,35,1.46,2.91,,,https://logo.clearbit.com/pharmeasy.in,,,,,"API Holdings Limited is the parent company of PharmEasy, India’s leading digital healthcare and e-pharmacy platform. The company enables online medicine delivery, diagnostics, teleconsultation, and healthcare management services. API Holdings has built one of the largest integrated digital healthcare ecosystems, connecting patients, pharmacies, diagnostic labs, and healthcare professionals across the country."
Apollo Green Energy Limited,2025,78,1.9,2331,10,485,78,3.9,29,1.89,4.38,,,https://logo.clearbit.com/apollo.co.in,,,,,"Apollo Green Energy Limited is focused on the renewable and sustainable energy sector. The company is involved in the development of green energy solutions including solar, wind, and hybrid renewable power projects. It aims to contribute to India’s clean energy transition by expanding cost-efficient and eco-friendly power solutions."
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),2025,128,546.22,70000,10,152,110,38,18.5,17.24,14.42,,,https://logo.clearbit.com/groww.in,,,,,"Billionbrains Garage Ventures Limited operates Groww, one of India’s fastest-growing investment and wealth-management platforms. Groww enables users to invest in mutual funds, stocks, digital gold, fixed deposits, and US stocks. Known for its user-friendly interface and transparency, Groww has become a preferred platform for new-age retail investors in India."
CHENNAI SUPER KINGS CRICKET LIMITED,2025,175,37.94,6650,0.1,218,160,44.83,49,9.44,9.75,,,https://logo.clearbit.com/chennaisuperkings.com,,,,,"Chennai Super Kings Cricket Limited owns and operates Chennai Super Kings (CSK), one of the most successful franchises in the Indian Premier League (IPL). CSK is known for its strong fan base, consistent performance, and brand value. The company generates revenue through sponsorships, merchandise, broadcasting rights, match-ticket sales, and league winnings."
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,2025,3.25,481.0217033,1564,1,12,1.14,,19,74.3,8.54,,,https://logo.clearbit.com/msei.in,,,,,"Metropolitan Stock Exchange of India Limited (MSEI) is recognized as India’s third national-level stock exchange. It offers trading across multiple segments including equity, equity derivatives, currency derivatives, and debt instruments. MSEI aims to expand financial market participation with cost-effective and transparent trading infrastructure."
National Commodity & Derivatives Exchange Ltd. (NCDEX),2025,465,5.07,2331,10,525,198,9.9,72,19.3,4.9,,,https://logo.clearbit.com/ncdex.com,,,,,"NCDEX is one of India’s premier commodity derivatives exchanges. It provides a transparent platform for trading agricultural and other commodities. NCDEX enables farmers, traders, processors, and financial participants to hedge risks and discover fair market prices through standardized contracts."
National Stock Exchange Ltd. (NSE),2025,1910,247.5,465300,1,2400,1625,39,63.8,25,15.33,,,https://logo.clearbit.com/nseindia.com,,,,,"The National Stock Exchange (NSE) is India’s largest and most advanced stock exchange. Known for its cutting-edge technology, high volumes, and reliable trading systems, NSE dominates equity, derivatives, and currency markets. NSE also operates NIFTY indices and provides extensive financial education and market data services."
Oravel Stays Limited (OYO ),2025,28.5,1432.34,40946.38,1,107.5,22.5,149.44,,6.49,34.74,0.38,0,https://logo.clearbit.com/oyorooms.com,,,,,"Oravel Stays Limited operates OYO, one of the world’s largest hospitality and hotel-networking platforms. OYO standardizes and aggregates budget hotels to offer affordable and quality stays. With presence across India and international markets, OYO leverages technology, hotel onboarding, and revenue management to deliver consistent hospitality experiences."
SBI FUNDS MANAGEMENT LIMITED,2025,2675,50.7860942,136000,1,2888,1240,53,31,32.1,16.39,,,https://logo.clearbit.com/sbimf.com,,,,,"SBI Funds Management is a joint venture between the State Bank of India and global asset manager Amundi. It is one of India’s largest mutual fund institutions, managing equity, debt, and hybrid schemes for millions of investors. The company is known for disciplined investment strategies, strong governance, and long-term performance."
Vivriti Capital,2025,1050,2.16,22650,10,1150,995,24,27.5,5.71,2.57,,,https://logo.clearbit.com/vivriticapital.com,,,,,"Vivriti Capital is a leading financial services and lending institution that focuses on providing debt financing to corporates, MSMEs, and emerging businesses. It enables credit access through innovative digital platforms and structured financial products. Vivriti aims to bridge credit gaps in India’s business ecosystem through efficient underwriting and risk management."
