Company,Line_Item,FY2021,FY2022,FY2023,FY2024,FY2025
API Holdings Limited,Total_Income,2360.66,5781.0,6699.77,5758.94,5980.03
API Holdings Limited,Total_Expenses,2980.93,8491.59,8974.01,7254.8,7208.56
API Holdings Limited,Gross_Profit,-620.27,-2710.59,-2274.24,-1495.86,-1228.53
API Holdings Limited,Gross_Profit_Margin_Pct,-0.2627,-0.4689,-0.3395,-0.2598,-0.2054
API Holdings Limited,EBITDA,-538.48,-2253.47,-1330.67,-551.11,-545.28
API Holdings Limited,EBIT,-576.84,-2451.65,-1546.62,-767.06,-714.26
API Holdings Limited,Net_Profit,-641.34,-3992.5,-5211.73,-2533.51,-1572.39
API Holdings Limited,Net_Profit_Growth_Pct,,-5.2251,-0.3054,0.5139,0.3793
API Holdings Limited,Net_Profit_Margin_Pct,-0.2717,-0.6906,-0.7779,-0.4399,-0.263
Apollo Green Energy Limited,Total_Income,,,790.84,1268.36,
Apollo Green Energy Limited,Total_Expenses,,,765.19,1228.4,
Apollo Green Energy Limited,Gross_Profit,,,32.17,41.17,
Apollo Green Energy Limited,Gross_Profit_Margin_Pct,,,0.0407,0.0325,
Apollo Green Energy Limited,EBITDA,,,58.85,106.1,
Apollo Green Energy Limited,EBIT,,,59.33,98.34,
Apollo Green Energy Limited,Net_Profit,,,24.71,38.59,
Apollo Green Energy Limited,Net_Profit_Growth_Pct,,,,0.5617,
Apollo Green Energy Limited,Net_Profit_Margin_Pct,,,0.0312,0.0304,
National Stock Exchange Ltd. (NSE),Total_Income,6202.33,8873.79,12160.36,16433.61,19176.83
National Stock Exchange Ltd. (NSE),Total_Expenses,1710.15,2018.31,2906.57,5350.29,5040.09
National Stock Exchange Ltd. (NSE),Gross_Profit,4492.18,6855.48,9253.79,11083.32,14136.74
National Stock Exchange Ltd. (NSE),Gross_Profit_Margin_Pct,0.7243,0.7726,0.761,0.6744,0.7372
National Stock Exchange Ltd. (NSE),EBITDA,5198.3,5198.3,7159.7,9870.0,12647.0
National Stock Exchange Ltd. (NSE),EBIT,4972.29,4887.85,6775.64,9430.41,12099.01
National Stock Exchange Ltd. (NSE),Net_Profit,3573.42,5198.29,7325.99,8305.74,12187.69
National Stock Exchange Ltd. (NSE),Net_Profit_Growth_Pct,,0.454710054,0.409307676,0.133736191,0.467381594
National Stock Exchange Ltd. (NSE),Net_Profit_Margin_Pct,0.5761,0.5858,0.6024,0.5054,0.6356
CHENNAI SUPER KINGS CRICKET LIMITED,Total_Income,253.7,349.14,325.3,723.28,704.28
CHENNAI SUPER KINGS CRICKET LIMITED,Revenue_Growth_Pct,,0.3762,-0.0683,1.2234,-0.0263
CHENNAI SUPER KINGS CRICKET LIMITED,Total_Expenses,194.5,307.81,293.16,444.12,494.77
CHENNAI SUPER KINGS CRICKET LIMITED,Gross_Profit,59.2,41.33,32.14,279.16,209.51
CHENNAI SUPER KINGS CRICKET LIMITED,Gross_Profit_Margin_Pct,0.2333,0.1184,0.0988,0.3859,0.2975
CHENNAI SUPER KINGS CRICKET LIMITED,EBITDA,67.8,49.41,47.47,291.46,221.86
CHENNAI SUPER KINGS CRICKET LIMITED,EBIT,64.46,47.01,42.44,286.72,211.7
CHENNAI SUPER KINGS CRICKET LIMITED,Net_Profit,40.26,32.12,13.79,201.49,148.32
CHENNAI SUPER KINGS CRICKET LIMITED,Net_Profit_Growth_Pct,,-0.2022,-0.5707,13.6113,-0.2639
CHENNAI SUPER KINGS CRICKET LIMITED,Net_Profit_Margin_Pct,0.1587,0.092,0.0424,0.2786,0.2106
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Total_Income,283.54,427.19,1437.81,2795.99,4061.65
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Total_Expenses,117.35,663.66,932.91,2068.11,1596.49
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Gross_Profit,166.19,-236.47,504.9,727.88,2465.16
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Gross_Profit_Margin_Pct,0.5861,-0.5535,0.3511,0.2603,0.6069
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),EBITDA,168.27,-229.59,509.26,-594.17,2530.93
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),EBIT,168.27,-233.43,496.97,-614.29,2506.33
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Net_Profit,167.65,-239.01,448.77,-885.45,1824.37
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Net_Profit_Growth_Pct,,-2.4258,2.8776,-2.9728,3.0604
BILLIONBRAINS GARAGE VENTURES LIMITED (Groww),Net_Profit_Margin_Pct,0.5913,-0.5595,0.3121,-0.3167,0.4492
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Total_Income,37.01,32.45,25.06,54.66,21.05
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Total_Expenses,67.22,63.12,56.32,69.38,68.64
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Gross_Profit,-30.21,-30.67,-31.26,-14.72,-47.59
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Gross_Profit_Margin_Pct,-0.8163,-0.9451,-1.2474,-0.2693,-2.2608
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,EBITDA,-15.69,-18.67,-20.18,-3.68,-40.55
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,EBIT,-28.62,-29.84,-30.66,-14.33,-46.61
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Net_Profit,-45.77,-31.08,-31.67,-18.66,-48.74
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Net_Profit_Growth_Pct,,0.3209,-0.019,0.4108,-1.612
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,Net_Profit_Margin_Pct,-1.2367,-0.9578,-1.2638,-0.3414,-2.3154
National Commodity & Derivatives Exchange Ltd. (NCDEX),Total_Income,148.9,154.37,135.87,136.06,122.06
National Commodity & Derivatives Exchange Ltd. (NCDEX),Total_Expenses,172.66,176.89,196.24,187.22,197.01
National Commodity & Derivatives Exchange Ltd. (NCDEX),Gross_Profit,-23.76,-22.52,-60.67,-51.16,-74.95
National Commodity & Derivatives Exchange Ltd. (NCDEX),Gross_Profit_Margin_Pct,-0.1596,-0.1459,-0.4465,-0.376,-0.614
National Commodity & Derivatives Exchange Ltd. (NCDEX),EBITDA,1.02,1.72,-35.55,-26.54,-49.86
National Commodity & Derivatives Exchange Ltd. (NCDEX),EBIT,-23.76,-22.52,-60.67,-51.16,-74.95
National Commodity & Derivatives Exchange Ltd. (NCDEX),Net_Profit,-10.14,-12.26,-42.37,-27.7,236.09
National Commodity & Derivatives Exchange Ltd. (NCDEX),Net_Profit_Growth_Pct,,-0.2091,-2.456,0.3462,9.5231
National Commodity & Derivatives Exchange Ltd. (NCDEX),Net_Profit_Margin_Pct,-0.0681,-0.0794,-0.3118,-0.2036,1.9342
Oravel Stays Limited (OYO ),Total_Income,,4781.62,5601.78,5541.59,6325.89
Oravel Stays Limited (OYO ),Total_Expenses,,6985.21,6709.85,5725.78,6659.54
Oravel Stays Limited (OYO ),Gross_Profit,,-2203.59,-1108.07,-184.2,-333.65
Oravel Stays Limited (OYO ),Gross_Profit_Margin_Pct,,-0.4609,-0.1978,-0.0332,-0.0527
Oravel Stays Limited (OYO ),EBITDA,,-2108.18,-1180.81,-174.06,-322.3
Oravel Stays Limited (OYO ),EBIT,,-2308.52,-1461.94,-374.4,-805.88
Oravel Stays Limited (OYO ),Net_Profit,,-1941.56,-12865.18,229.58,244.82
Oravel Stays Limited (OYO ),Net_Profit_Growth_Pct,,,-5.6261,101.78,0.0664
Oravel Stays Limited (OYO ),Net_Profit_Margin_Pct,,-0.4061,-2.2966,0.0414,0.0387
Vivriti Capital,Total_Income,245.57,2417.28,703.39,1110.4,1506.56
Vivriti Capital,Revenue_Growth_Pct,,8.847,-0.709,0.579,0.357
Vivriti Capital,Total_Expenses,224.46,224.98,525.67,852.62,1139.9
Vivriti Capital,Gross_Profit,21.1,2192.29,177.91,257.78,366.66
Vivriti Capital,Gross_Profit_Margin_Pct,0.086,0.907,0.253,0.232,0.243
Vivriti Capital,EBITDA,124.67,2400.08,568.87,818.99,1088.32
Vivriti Capital,EBIT,117.18,2391.6,562.17,799.8,1070.36
Vivriti Capital,Net_Profit,14.42,1579.09,134.89,193.06,559.05
Vivriti Capital,Net_Profit_Growth_Pct,,108.489,-0.915,0.431,1.896
Vivriti Capital,Net_Profit_Margin_Pct,0.059,0.653,0.192,0.174,0.371
SBI FUNDS MANAGEMENT LIMITED,Total_Income,1619.75,2000.14,2412.57,3426.08,4236.15
SBI FUNDS MANAGEMENT LIMITED,Total_Expenses,481.7,571.04,641.71,752.46,871.81
SBI FUNDS MANAGEMENT LIMITED,Gross_Profit,1138.05,1429.1,1770.87,2673.62,3364.34
SBI FUNDS MANAGEMENT LIMITED,Gross_Profit_Margin_Pct,0.7026,0.7145,0.734,0.7803,0.7942
SBI FUNDS MANAGEMENT LIMITED,EBITDA,1173.73,1466.72,1809.96,2718.33,3412.38
SBI FUNDS MANAGEMENT LIMITED,EBIT,1142.04,1433.54,1776.12,2681.33,3372.94
SBI FUNDS MANAGEMENT LIMITED,Net_Profit,862.64,1082.37,1339.71,2072.78,2540.15
SBI FUNDS MANAGEMENT LIMITED,Net_Profit_Growth_Pct,0.424,0.2547,0.2377,0.5472,0.2255
SBI FUNDS MANAGEMENT LIMITED,Net_Profit_Margin_Pct,0.5326,0.5411,0.5552,0.6048,0.6
